evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name,Racecourse,Meeting Date,ramp_id,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
,,,4,,Greyhound Racing,WARRAGUL,2022-05-31,9383470,2022-05-31 10:45:00,Australia,35.1495,32.4032,2.7463,2.1548,0.0,353.1568,41.2723,396.5839,right_only
,,,7,,Horse Racing,GLOBE DERBY HARNESS,2022-06-25,9471490,2022-06-25 13:10:00,Australia,30.2011,26.7879,3.4132,9.095,0.0,14.9342,4.4311,28.4603,right_only
,,,4,,Horse Racing,DONALD,2022-06-18,9449184,2022-06-18 04:51:00,Australia,52.2662,42.2112,10.055,3.5067,0.0,20.9963,3.1655,27.6685,right_only
,,,4,,Horse Racing,ALBION PARK HARNESS,2022-06-04,9392796,2022-06-04 09:43:00,Australia,52.6962,52.3964,0.2998,11.9307,4.2915,95.8764,22.6398,134.7384,right_only
,,,5,,Horse Racing,ADDINGTON (HARNESS),2022-06-09,9420208,2022-06-09 07:42:00,New Zealand,5.8675,5.6708,0.1967,12.8493,0.8366,41.8028,7.883,63.3717,right_only
,,,2,,Horse Racing,ECHUCA (HARNESS),2022-05-31,9379405,2022-05-31 08:59:00,Australia,83.3365,76.2392,7.0973,19.4114,2.9795,303.9109,37.4296,363.7314,right_only
,,,1,,Horse Racing,BALLARAT,2022-06-28,9477257,2022-06-28 04:00:00,Australia,254.012,240.4053,13.6067,89.2978,11.5042,257.9154,62.2441,420.9615,right_only
,,,7,,Horse Racing,PAKENHAM,2022-06-07,9405203,2022-06-07 06:30:00,Australia,83.4958,82.0071,1.4887,76.1195,0.0057,91.6668,15.4239,183.2159,right_only
,,,5,,Horse Racing,CAMBRIDGE SYNTHETIC,2022-06-15,9433583,2022-06-15 02:06:00,New Zealand,12.8058,12.5279,0.2779,178.7968,0.5132,222.2179,88.2523,489.7802,right_only
,,,8,,Horse Racing,ALBION PARK HARNESS,2022-06-14,9427584,2022-06-14 08:50:00,Australia,83.8118,63.5351,20.2767,5.075,22.5998,43.9831,4.0525,75.7104,right_only
,,,1,,Horse Racing,MORPHETTVILLE,2022-06-11,9422346,2022-06-11 03:02:00,Australia,194.0903,188.2741,5.8162,900.3613,4.2713,308.5867,126.9383,1340.1576,right_only
,,,6,,Horse Racing,SALE,2022-06-08,9415119,2022-06-08 06:20:00,Australia,442.0564,424.9009,17.1555,25.7394,0.0585,252.0022,29.8497,307.6498,right_only
,,,8,,Horse Racing,ALBION PARK HARNESS,2022-06-03,9395569,2022-06-03 12:15:00,Australia,63.2451,61.938,1.3071,8.6612,0.0,15.0532,7.6914,31.4058,right_only
,,,4,,Horse Racing,CAMBRIDGE (HARNESS),2022-06-23,9463672,2022-06-23 07:43:00,New Zealand,11.3231,11.2633,0.0598,5.8803,0.0,37.0164,19.0703,61.967,right_only
,,,9,,Horse Racing,BENDIGO HARNESS,2022-06-05,9398032,2022-06-05 11:37:00,Australia,23.1643,20.7448,2.4195,30.0124,0.0,323.3819,21.7102,375.1045,right_only
,,,7,,Horse Racing,ASCOT PARK (HARNESS),2022-06-18,9440853,2022-06-18 03:13:00,New Zealand,,,,0.0,0.0,11.8991,0.5726,12.4717,right_only
,,,6,,Horse Racing,MARBURG HARNESS,2022-06-02,9392787,2022-06-02 05:33:00,Australia,54.3385,49.7295,4.609,125.6306,0.0,173.3258,57.7898,356.7462,right_only
,,,5,,Horse Racing,ARARAT HARNESS,2022-06-08,9405266,2022-06-08 05:28:00,Australia,28.4298,27.1155,1.3143,2.874,0.563,59.1061,8.7037,71.2468,right_only
,,,6,,Horse Racing,COWRA (HARNESS),2022-06-12,9423936,2022-06-12 05:39:00,Australia,12.1359,12.0679,0.068,0.02,0.0,0.0,0.0,0.02,right_only
